专业名称
哲学
逻辑学
宗教学
伦理学
经济学
经济统计学
国民经济管理
资源与环境经济学
商务经济学
能源经济
劳动经济学
经济工程
数字经济
低空经济与管理
资源环境审计
财政学
税收学
国际税收
金融学
金融工程
保险学
投资学
金融数学
信用管理
经济与金融
精算学
互联网金融
金融科技
金融审计
数字金融
国际经济与贸易
贸易经济
国际经济发展合作
数字贸易
法学
知识产权
监狱学
信用风险管理与法律防控
国际经贸规则
司法警察学
社区矫正
纪检监察
国际法
司法鉴定学
国家安全学
海外利益安全
政治学与行政学
国际政治
外交学
国际事务与国际关系
政治学、经济学与哲学
国际组织与全球治理
社会学
社会工作
人类学
女性学
家政学
老年学
社会政策
民族学
科学社会主义
中国共产党历史
思想政治教育
马克思主义理论
工会学
治安学
侦查学
边防管理
禁毒学
警犬技术
经济犯罪侦查
边防指挥
消防指挥
警卫学
公安情报学
犯罪学
公安管理学
涉外警务
国内安全保卫
警务指挥与战术
技术侦查学
海警执法
公安政治工作
移民管理
出入境管理
反恐警务
消防政治工作
铁路警务
森林消防
政治安全保卫
教育学
科学教育
人文教育
教育技术学
艺术教育
学前教育
小学教育
特殊教育
华文教育
教育康复学
卫生教育
认知科学与技术
融合教育
劳动教育
家庭教育
孤独症儿童教育
人工智能教育
婴幼儿发展与健康管理
体育教育
运动训练
社会体育指导与管理
武术与民族传统体育
运动人体科学
运动康复
休闲体育
体能训练
冰雪运动
电子竞技运动与管理
智能体育工程
体育旅游
运动能力开发
足球运动
马术运动与管理
体育康养
航空运动
太极拳
汉语言文学
汉语言
汉语国际教育
中国少数民族语言文学
古典文献学
应用语言学
秘书学
中国语言与文化
手语翻译
数字人文
中国古典学
汉学与中国学
应用中文
语言科学
桑戈语
英语
俄语
德语
法语
西班牙语
阿拉伯语
日语
波斯语
朝鲜语
菲律宾语
梵语巴利语
印度尼西亚语
印地语
柬埔寨语
老挝语
缅甸语
马来语
蒙古语
僧伽罗语
泰语
乌尔都语
希伯来语
越南语
豪萨语
斯瓦希里语
阿尔巴尼亚语
保加利亚语
波兰语
捷克语
斯洛伐克语
罗马尼亚语
葡萄牙语
瑞典语
塞尔维亚语
土耳其语
希腊语
匈牙利语
意大利语
泰米尔语
普什图语
世界语
孟加拉语
尼泊尔语
克罗地亚语
荷兰语
芬兰语
乌克兰语
挪威语
丹麦语
冰岛语
爱尔兰语
拉脱维亚语
立陶宛语
斯洛文尼亚语
爱沙尼亚语
马耳他语
哈萨克语
乌兹别克语
祖鲁语
拉丁语
翻译
商务英语
阿姆哈拉语
吉尔吉斯语
索马里语
土库曼语
加泰罗尼亚语
约鲁巴语
亚美尼亚语
马达加斯加语
格鲁吉亚语
阿塞拜疆语
阿非利卡语
马其顿语
塔吉克语
茨瓦纳语
恩德贝莱语
科摩罗语
克里奥尔语
绍纳语
提格雷尼亚语
白俄罗斯语
毛利语
汤加语
萨摩亚语
库尔德语
比斯拉马语
达里语
德顿语
迪维希语
斐济语
库克群岛毛利语
隆迪语
卢森堡语
卢旺达语
纽埃语
皮金语
切瓦语
塞苏陀语
语言学
塔玛齐格特语
爪哇语
旁遮普语
区域国别学
法律英语
计算语言学
语言智能
新闻学
广播电视学
广告学
传播学
编辑出版学
网络与新媒体
数字出版
时尚传播
国际新闻与传播
会展
历史学
世界史
考古学
文物与博物馆学
文物保护技术
外国语言与外国历史
文化遗产
古文字学
科学史
数学与应用数学
信息与计算科学
数理基础科学
数据计算及应用
智能计算
物理学
应用物理学
核物理
声学
系统科学与工程
量子信息科学
化学
应用化学
化学生物学
分子科学与工程
能源化学
化学测量学与技术
资源化学
天文学
地理科学
自然地理与资源环境
人文地理与城乡规划
地理信息科学
大气科学
应用气象学
气象技术与工程
地球系统科学
海洋科学
海洋技术
海洋资源与环境
军事海洋学
海洋科学与技术
地球物理学
空间科学与技术
防灾减灾科学与工程
行星科学
地质学
地球化学
地球信息科学与技术
古生物学
生物科学
生物技术
生物信息学
生态学
整合科学
神经科学
心理学
应用心理学
心理、脑与认知科学
统计学
应用统计学
数据科学
生物统计学
理论与应用力学
工程力学
机械工程
机械设计制造及其自动化
材料成型及控制工程
机械电子工程
工业设计
过程装备与控制工程
车辆工程
汽车服务工程
机械工艺技术
微机电系统工程
机电技术教育
汽车维修工程教育
智能制造工程
智能车辆工程
仿生科学与工程
新能源汽车工程
增材制造工程
智能交互设计
应急装备技术与工程
农林智能装备工程
真空工程与技术
测控技术与仪器
精密仪器
智能感知工程
材料科学与工程
材料物理
材料化学
冶金工程
金属材料工程
无机非金属材料工程
高分子材料与工程
复合材料与工程
粉体材料科学与工程
宝石及材料工艺学
焊接技术与工程
功能材料
纳米材料与技术
新能源材料与器件
材料设计科学与工程
复合材料成型工程
智能材料与结构
光电信息材料与器件
生物材料
材料智能技术
电子信息材料
软物质科学与工程
稀土材料科学与工程
能源与动力工程
能源与环境系统工程
新能源科学与工程
储能科学与工程
能源服务工程
氢能科学与工程
可持续能源
能源科学与工程
电气工程及其自动化
智能电网信息工程
光源与照明
电气工程与智能控制
电机电器智能化
电缆工程
能源互联网工程
智慧能源工程
电动载运工程
大功率半导体科学与工程
电子信息工程
电子科学与技术
通信工程
微电子科学与工程
光电信息科学与工程
信息工程
广播电视工程
水声工程
电子封装技术
集成电路设计与集成系统
医学信息工程
电磁场与无线技术
电波传播与天线
电子信息科学与技术
电信工程及管理
应用电子技术教育
人工智能
海洋信息工程
柔性电子学
智能测控工程
智能视觉工程
智能视听工程
半导体工艺与装备
自动化
轨道交通信号与控制
机器人工程
邮政工程
核电技术与控制工程
智能装备与系统
工业智能
智能工程与创意设计
计算机科学与技术
软件工程
网络工程
信息安全
物联网工程
数字媒体技术
智能科学与技术
空间信息与数字技术
电子与计算机工程
数据科学与大数据技术
网络空间安全
新媒体技术
电影制作
保密技术
服务科学与工程
虚拟现实技术
区块链工程
密码科学与技术
工业软件
土木工程
建筑环境与能源应用工程
给排水科学与工程
建筑电气与智能化
城市地下空间工程
道路桥梁与渡河工程
铁道工程
智能建造
土木、水利与海洋工程
土木、水利与交通工程
城市水系统工程
智能建造与智慧交通
工程软件
城市更新
水利水电工程
水文与水资源工程
港口航道与海岸工程
水务工程
水利科学与工程
智慧水利
测绘工程
遥感科学与技术
导航工程
地理国情监测
地理空间信息工程
时空信息工程
化学工程与工艺
制药工程
资源循环科学与工程
能源化学工程
化学工程与工业生物工程
化工安全工程
涂料工程
精细化工
智能分子工程
地质工程
勘查技术与工程
资源勘查工程
地下水科学与工程
旅游地学与规划工程
智能地球探测
资源环境大数据工程
采矿工程
石油工程
矿物加工工程
油气储运工程
矿物资源工程
海洋油气工程
智能采矿工程
碳储科学与工程
稀土科学与工程
纺织工程
服装设计与工程
非织造材料与工程
服装设计与工艺教育
丝绸设计与工程
纤维科学与智能制造
轻化工程
包装工程
印刷工程
香料香精技术与工程
化妆品技术与工程
生物质能源与材料
生物质技术与工程
交通运输
交通工程
航海技术
轮机工程
飞行技术
交通设备与控制工程
救助与打捞工程
船舶电子电气工程
轨道交通电气与控制
邮轮工程与管理
智慧交通
智能运输工程
交通能源融合工程
船舶与海洋工程
海洋工程与技术
海洋资源开发技术
海洋机器人
智慧海洋技术
智能海洋装备
海洋智能与无人技术
航空航天工程
飞行器设计与工程
飞行器制造工程
飞行器动力工程
飞行器环境与生命保障工程
飞行器质量与可靠性
飞行器适航技术
飞行器控制与信息工程
无人驾驶航空器系统工程
智能飞行器技术
空天智能电推进技术
飞行器运维工程
武器系统与工程
武器发射工程
探测制导与控制技术
弹药工程与爆炸技术
特种能源技术与工程
装甲车辆工程
信息对抗技术
智能无人系统技术
核工程与核技术
辐射防护与核安全
工程物理
核化工与核燃料工程
农业工程
农业机械化及其自动化
农业电气化
农业建筑环境与能源工程
农业水利工程
土地整治工程
农业智能装备工程
农业机器人
森林工程
木材科学与工程
林产化工
家具设计与工程
木结构建筑与材料
环境科学与工程
环境工程
环境科学
环境生态工程
环保设备工程
资源环境科学
水质科学与技术
生物医学工程
假肢矫形工程
临床工程技术
康复工程
健康科学与技术
食品科学与工程
食品质量与安全
粮食工程
乳品工程
酿酒工程
葡萄与葡萄酒工程
食品营养与检验教育
烹饪与营养教育
食品安全与检测
食品营养与健康
食用菌科学与工程
白酒酿造工程
咖啡科学与工程
建筑学
城乡规划
风景园林
历史建筑保护工程
人居环境科学与技术
城市设计
智慧建筑与建造
智慧景观营造
安全工程
应急技术与管理
职业卫生工程
安全生产监管
智慧应急
生物工程
生物制药
合成生物学
生物制造
刑事科学技术
消防工程
交通管理工程
安全防范工程
公安视听技术
抢险救援指挥与技术
火灾勘查
网络安全与执法
核生化消防
海警舰艇指挥与技术
数据警务技术
